model,feature,coefficient,coefficient_lower_95,coefficient_upper_95,hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95,standard_error,z_statistic,p_value,number_of_firms,number_of_events,penalizer,l1_ratio
Left-Truncated Baseline Cox,cash_ratio,0.11935509772789651,-0.45939710999412053,0.6981073054499136,1.126769960709982,0.6316643548590775,2.0099448933470705,0.29528716460462573,0.4042000873546496,0.6860655895120308,88,40,0.0,0.0
Left-Truncated Baseline Cox,return_on_assets,-0.03593834045114077,-0.4958802870117268,0.4240036061094453,0.9646997746022012,0.609034546054443,1.528067104151339,0.23466857053933107,-0.15314509466923867,0.8782838548812397,88,40,0.0,0.0
Left-Truncated Baseline Cox,revenue_growth,0.3010400568416247,0.010317788075850931,0.5917623256073985,1.3512634678006679,1.0103711999907918,1.8071704334301366,0.1483304137519638,2.029523475509345,0.0424050003865719,88,40,0.0,0.0
Left-Truncated Baseline Cox,operating_cash_flow_ratio,0.2919547748492312,-0.026417785393603566,0.6103273350920659,1.3390424578728486,0.9739281116604762,1.8410339351732712,0.16243796455144938,1.7973309112523363,0.07228310170380119,88,40,0.0,0.0
Left-Truncated Baseline Cox,log_total_assets,0.13388745399828697,-0.2417698655450428,0.5095447735416168,1.143264142595588,0.7852368668179766,1.6645332828569408,0.19166541962325165,0.6985477832227832,0.4848346860509041,88,40,0.0,0.0
Left-Truncated Baseline Cox,operating_margin,-0.2729747941417904,-0.8034087792142413,0.2574591909306605,0.7611119718676002,0.4477999084711408,1.2936390176987274,0.27063455719413543,-1.008647221448428,0.31314385198503714,88,40,0.0,0.0
Time-Varying Cox,leverage,0.475868943510172,0.24152489176421532,0.7102129952561287,1.6094120782386994,1.273189146447131,2.034424535277145,0.11956548875103455,3.979985767473848,6.891939428685484e-05,88,40,0.0,0.0
Time-Varying Cox,current_ratio,-1.4137507547798887,-2.216698299950571,-0.6108032096092063,0.24322927674565525,0.10896829616306138,0.5429146196586037,0.4096746427506986,-3.4509110578274322,0.0005586976553907702,88,40,0.0,0.0
Time-Varying Cox,cash_ratio,0.3985472206607876,-0.09523693506845304,0.8923313763900282,1.4896589790793089,0.90915749765303,2.4408134780608695,0.25193532106923755,1.5819426151494564,0.11366267127574385,88,40,0.0,0.0
Time-Varying Cox,return_on_assets,0.051184606921273995,-0.35187117881790264,0.4542403926604507,1.0525171773052548,0.7033707251886807,1.5749765647773495,0.20564448577546796,0.24889851399740273,0.8034392847925964,88,40,0.0,0.0
Time-Varying Cox,revenue_growth,-0.07511984646531637,-0.4959929260375286,0.3457532331068958,0.9276323062134011,0.6089659488599289,1.4130538778757253,0.21473510885506336,-0.3498256380423516,0.7264695569239663,88,40,0.0,0.0
