model,feature,coefficient,coefficient_lower_95,coefficient_upper_95,hazard_ratio,hazard_ratio_lower_95,hazard_ratio_upper_95,standard_error,z_statistic,p_value
Ridge Time-Varying Cox,leverage,0.1715389892198388,0.05712948752593612,0.28594849091374147,1.1871304271191863,1.0587929019928404,1.3310238936619836,0.05837326736427313,2.938656631114464,0.0032963804886655067
Ridge Time-Varying Cox,current_ratio,-0.08928702084469639,-0.2125826078906759,0.03400856620128313,0.9145830315044836,0.8084935256179945,1.0345934692260625,0.0629070676902838,-1.4193480021083078,0.15579758394741644
Ridge Time-Varying Cox,cash_ratio,-0.02472076929789056,-0.14817630232227835,0.09873476372649723,0.975582286525734,0.8622790797361498,1.1037734999601407,0.06298867428084867,-0.39246371796408425,0.694715614257976
Ridge Time-Varying Cox,return_on_assets,-0.03897970036123516,-0.15903981122022465,0.08108041049775433,0.9617702325365024,0.8529624008191959,1.0844580948760862,0.06125628420012221,-0.6363379834449278,0.5245561529114094
Ridge Time-Varying Cox,revenue_growth,-0.012851550656099983,-0.1350441911411073,0.10934108982890733,0.9872306778893327,0.8736773020380019,1.1155427857543663,0.06234432951260701,-0.20613824475409903,0.8366829252500823
Ridge Time-Varying Cox,operating_cash_flow_ratio,-0.012550902524805745,-0.13542203252228857,0.11032022747267708,0.9875275315698127,0.87334725295652,1.1166355906050105,0.06269050399225426,-0.20020420519121165,0.8413208784879465
Ridge Time-Varying Cox,log_total_assets,-0.019402115688893735,-0.14005961811781092,0.10125538674002346,0.9807848939438907,0.8693064074420659,1.1065592062286005,0.061561081418152676,-0.3151685324873546,0.7526336963707483
Ridge Time-Varying Cox,operating_margin,-0.07101951904554114,-0.18995544831767391,0.04791641022659161,0.931443711057939,0.8269959771847025,1.049082959052432,0.06068271162648099,-1.1703418839073323,0.2418634130136028
